PRT_ID,AREA,INT_SQFT,DATE_SALE,DISTANT FROM THE MAINROAD,NUMBER OF BEDROOM,NUMBER OF BATHROOM,NUMBER OF ROOM,REGISTRATION FEE,COMMISSSION PRICE,SALES PRICE,,,Latitude,Longitude
P08363,Adyar,680,28-01-2008,126,1,1,2,257659,68709,8588630,,,13.0067,80.257
P09991,Velachery,1508,01-05-2004,54,2,1,4,206724,137816,6890790,,,12.9784,80.221
P00225,Anna Nagar,2000,09-09-2014,102,2,1,5,690587,334830,20926890,,,13.086,80.2103
P09068,Anna Nagar,1538,21-04-2007,187,1,1,4,698753,139751,19964360,,,13.086,80.2103
P00463,T Nagar,1723,30-03-2014,19,1,1,4,490038,226171,12565070,,,13.0418,80.2332
P08781,Chrompet,1161,22-08-2007,58,1,1,3,296434,127043,10586920,,,12.9489,80.1354
P09764,Velachery,1676,03-09-2005,34,2,1,4,299942,118159,9089160,,,12.9784,80.221
P00092,T Nagar,1749,19-12-2014,4,1,1,4,454076,113519,11351890,,,13.0418,80.2332
P07349,KK Nagar,2199,13-12-2008,200,3,2,5,561509,204185,12761560,,,13.0378,80.2055
P01009,Chrompet,1101,02-03-2013,30,1,1,3,269472,62877,8982400,,,12.9489,80.1354
P09032,Adyar,1240,07-05-2007,5,2,2,4,404199,74458,10636820,,,13.0067,80.257
P08562,Adyar,1266,07-11-2007,7,2,2,4,300546,113720,8122870,,,13.0067,80.257
P00419,Chrompet,1021,30-04-2014,159,1,1,3,298097,83840,9315520,,,12.9489,80.1354
P04239,Velachery,1713,08-10-2010,72,2,1,4,292206,118462,7897470,,,12.9784,80.221
P09599,Velachery,1563,08-08-2006,158,2,1,4,174011,101039,5613270,,,12.9784,80.221
P07253,Chrompet,889,06-01-2009,133,1,1,3,400826,133609,12146250,,,12.9489,80.1354
P06627,Velachery,1925,11-07-2009,17,3,2,5,331656,176883,11055190,,,12.9784,80.221
P05740,KK Nagar,1791,01-01-2010,107,3,2,5,438239,125211,10434260,,,13.0378,80.2055
P09482,Chrompet,910,18-11-2006,178,1,1,3,303146,45931,9186250,,,12.9489,80.1354
P03154,KK Nagar,2450,16-05-2011,78,4,2,6,360785,232765,11638240,,,13.0378,80.2055
P03878,KK Nagar,1763,24-12-2010,155,2,1,4,353206,83107,10388400,,,13.0378,80.2055
P01507,Chrompet,1170,28-03-2012,5,1,1,3,385904,186728,12448500,,,12.9489,80.1354
P04170,Adyar,1294,23-10-2010,26,2,2,4,311499,155750,10383300,,,13.0067,80.257
P03417,KK Nagar,1386,31-03-2011,101,2,1,4,496825,262213,13800700,,,13.0378,80.2055
P05231,Karapakkam,1506,05-04-2010,156,2,2,4,264460,161256,6450250,,,12.9346,80.2409
P02862,Anna Nagar,1830,10-07-2011,33,2,1,5,769130,270235,20787310,,,13.086,80.2103
P00776,Chrompet,744,01-08-2013,112,1,1,2,174992,32406,6481200,,,12.9489,80.1354
P00305,Chrompet,1298,13-07-2014,75,2,1,4,291582,116633,9719400,,,12.9489,80.1354
P00751,Anna Nagar,1615,19-08-2013,181,1,1,4,295379,157535,9845950,,,13.086,80.2103
P03091,KK Nagar,1964,29-05-2011,35,3,2,5,383214,211776,10084580,,,13.0378,80.2055
P01272,Chrompet,812,12-09-2012,21,1,1,3,224009,86713,7226100,,,12.9489,80.1354
P03694,Adyar,1270,30-01-2011,70,2,2,4,480796,160265,14569565,,,13.0067,80.257
P01753,Karapakkam,1045,13-02-2012,59,1,1,3,128691,53621,3574750,,,12.9346,80.2409
P07454,Chrompet,1093,04-11-2008,51,1,1,3,271262,61253,8750400,,,12.9489,80.1354
P07901,Chrompet,934,30-06-2008,29,1,1,3,193095,57213,7151680,,,12.9489,80.1354
P02177,Velachery,1617,23-11-2011,171,2,1,4,324098,76760,8528890,,,12.9784,80.221
P05995,Velachery,1994,13-11-2009,87,3,2,5,309945,92146,8376880,,,12.9784,80.221
P10012,Velachery,1759,18-03-2004,8,2,1,4,443217,83852,11978830,,,12.9784,80.221
P05821,KK Nagar,1968,17-12-2009,126,3,2,5,652659,208851,13053180,,,13.0378,80.2055
P03762,Karapakkam,785,14-01-2011,103,1,1,2,194903,62203,4146875,,,12.9346,80.2409
P03670,Velachery,1956,03-02-2011,11,3,2,5,353953,133928,9566290,,,12.9784,80.221
P05190,Karapakkam,1042,12-04-2010,27,1,1,3,281930,143964,5998500,,,12.9346,80.2409
P07762,Anna Nagar,1566,10-08-2008,21,1,1,4,309693,114701,11470100,,,13.086,80.2103
P07891,KK Nagar,1380,02-07-2008,167,2,1,4,519292,193225,12076560,,,13.0378,80.2055
P01511,Karapakkam,1047,27-03-2012,52,1,1,3,332906,74734,6794000,,,12.9346,80.2409
P01363,Chrompet,975,07-07-2012,80,1,1,3,201871,129198,8074850,,,12.9489,80.1354
P05250,Chrompet,1036,02-04-2010,152,1,1,3,224466,33254,8313550,,,12.9489,80.1354
P04159,Anna Nagar,1960,25-10-2010,56,2,1,5,506073,77857,12976220,,,13.086,80.2103
P02008,KK Nagar,2438,28-12-2011,153,4,2,6,368017,106844,11871500,,,13.0378,80.2055
P09033,T Nagar,1752,07-05-2007,163,1,1,4,419552,119872,11987190,,,13.0418,80.2332
P01285,Chrompet,1272,30-08-2012,192,2,1,4,281019,27195,9065140,,,12.9489,80.1354
P09422,Adyr,784,14-12-2006,17,1,1,2,352718,90440,9044045,,,,
P02977,KK Nagar,2461,20-06-2011,184,4,2,6,444954,152556,12712980,,,13.0378,80.2055
P05870,Chrompet,911,07-12-2009,98,1,1,3,299198,34523,11507600,,,12.9489,80.1354
P06982,KK Nagar,2330,01-04-2009,1,4,2,6,612818,158147,19768320,,,13.0378,80.2055
P09379,Velachery,1673,29-12-2006,86,2,1,4,288431,127249,8483250,,,12.9784,80.221
P05466,Chrompet,1171,19-02-2010,10,1,1,3,449122,238596,14035050,,,12.9489,80.1354
P09802,Velachery,1966,13-06-2005,60,3,2,5,317668,140148,9343170,,,12.9784,80.221
P04583,Karapakkam,850,05-08-2010,125,1,1,2,323806,84471,7039250,,,12.9346,80.2409
P06789,Anna Nagar,1622,23-05-2009,37,1,1,4,305338,124397,11308830,,,13.086,80.2103
P09740,Velachery,1938,08-10-2005,5,3,2,5,369739,231087,11554330,,,12.9784,80.221
P08503,Anna Nagar,1867,06-12-2007,138,2,1,5,337695,108062,13507780,,,13.086,80.2103
P03947,Adyar,791,07-12-2010,72,1,1,2,242708,25548,6387040,,,13.0067,80.257
P08482,Anna Nagar,1958,16-12-2007,82,2,1,5,594051,118810,19801690,,,13.086,80.2103
P07603,Anna Nagar,1601,24-09-2008,108,1,1,4,505862,113819,12646540,,,13.086,80.2103
P06374,Karapakkam,1617,03-09-2009,160,2,2,4,521505,289725,14486250,,,12.9346,80.2409
P00831,Chrompet,1015,25-06-2013,105,1,1,3,362010,58389,11677750,,,12.9489,80.1354
P01646,T Nagar,1572,04-03-2012,111,1,1,4,319140,208669,12274630,,,13.0418,80.2332
P09147,T Nagar,1924,19-03-2007,139,2,1,5,372072,179146,13780460,,,13.0418,80.2332
P00891,T Nagar,1848,21-05-2013,33,2,1,5,502253,221582,14772160,,,13.0418,80.2332
P01111,Chrompet,1238,16-12-2012,34,2,1,4,322053,171091,10064150,,,12.9489,80.1354
P00450,T Nagar,1556,05-04-2014,188,1,1,4,415316,232088,12215170,,,13.0418,80.2332
P01840,Anna Nagar,1543,30-01-2012,97,1,1,4,578573,235045,18080410,,,13.086,80.2103
P00093,Anna Nagar,1534,17-12-2014,7,1,1,4,692463,155804,17311570,,,13.086,80.2103
P06381,KK Nagar,1635,02-09-2009,46,2,1,4,293971,169256,8908220,,,13.0378,80.2055
P02596,KK Nagar,1450,05-09-2011,120,2,1,4,477595,244104,10613220,,,13.0378,80.2055
P05834,Chrompet,1117,13-12-2009,152,1,1,3,223631,91109,8282640,,,12.9489,80.1354
P01699,Chrompet,953,24-02-2012,18,1,1,3,249555,96602,8050150,,,12.9489,80.1354
P07461,Chrompet,742,03-11-2008,7,1,1,2,238070,126475,7439700,,,12.9489,80.1354
P03911,Karapakkam,820,16-12-2010,63,1,1,2,250045,76101,5435750,,,12.9346,80.2409
P06117,Anna Nagar,1895,20-10-2009,194,2,1,5,344261,68852,13770420,,,13.086,80.2103
P07100,Anna Nagar,1717,26-02-2009,199,1,1,4,731893,203304,20330350,,,13.086,80.2103
P02382,Chrompet,790,15-10-2011,166,1,1,2,268584,86640,8664000,,,12.9489,80.1354
P07570,Velachery,1885,29-09-2008,156,3,2,5,590782,164106,16410600,,,12.9784,80.221
P01658,Velachery,1749,01-03-2012,181,2,1,4,421703,111627,12403030,,,12.9784,80.221
P05098,Karapakkam,734,01-05-2010,151,1,1,2,268090,100534,6702250,,,12.9346,80.2409
P02464,Karapakkam,1624,29-09-2011,3,2,2,4,231480,43066,5383250,,,12.9346,80.2409
P06978,Adyar,953,01-04-2009,63,1,1,3,329346,16467,8233645,,,13.0067,80.257
P07540,Chrompet,967,10-10-2008,158,1,1,3,239229,41246,8249290,,,12.9489,80.1354
P07507,Chrompet,961,19-10-2008,15,1,1,3,218006,148244,8720250,,,12.9489,80.1354
P04572,Karapakkam,1034,06-08-2010,73,1,1,3,256914,48936,6117000,,,12.9346,80.2409
P09020,Velachery,1940,11-05-2007,89,3,2,5,355462,172345,10771580,,,12.9784,80.221
P04050,Chrompet,753,17-11-2010,150,1,1,2,250152,111179,9264900,,,12.9489,80.1354
P05790,Karapakkam,755,21-12-2009,76,1,1,2,230826,135780,6789000,,,12.9346,80.2409
P09268,Anna Nagar,1971,07-02-2007,72,2,1,5,786861,170132,21266520,,,13.086,80.2103
P00895,Chrompet,1026,16-05-2013,29,1,1,3,319970,63994,12798800,,,12.9489,80.1354
P04402,Karapakkam,1375,08-09-2010,151,2,2,4,242676,135447,5643625,,,12.9346,80.2409
P03279,Karapakkam,728,20-04-2011,97,1,1,2,135229,64675,2939750,,,12.9346,80.2409
P00286,Anna Nagar,1807,26-07-2014,70,2,1,5,468129,156043,13003580,,,13.086,80.2103
P03925,Karapakkam,1333,12-12-2010,31,2,2,4,359585,174933,9718500,,,12.9346,80.2409
P00965,Chrompet,1093,02-04-2013,142,1,1,3,265752,104403,9491150,,,12.9489,80.1354
P08696,Adyar,1191,17-09-2007,152,1,1,3,263226,100645,7741945,,,13.0067,80.257
P05022,T Nagar,1984,16-05-2010,156,2,1,5,620346,301790,16766120,,,13.0418,80.2332
P01583,Karapakkam,888,14-03-2012,9,1,1,2,295447,64228,6422750,,,12.9346,80.2409
P00275,Chrompet,1100,04-08-2014,102,1,1,3,444780,222390,14826000,,,12.9489,80.1354
P03976,Chrompet,1294,02-12-2010,90,2,1,4,440783,258390,15199400,,,12.9489,80.1354
P04451,Velachery,1904,28-08-2010,89,3,2,5,392282,110644,10058510,,,12.9784,80.221
P05059,Karapakkam,1045,06-05-2010,34,1,1,3,419630,128458,8563875,,,12.9346,80.2409
P03760,Karapakkam,1253,14-01-2011,200,1,1,3,217323,120735,6036750,,,12.9346,80.2409
P05612,KK Nagar,1472,26-01-2010,138,2,1,4,514242,184600,13185700,,,13.0378,80.2055
P07446,Anna Nagar,1765,07-11-2008,97,1,1,4,650414,121953,20325440,,,13.086,80.2103
P01278,T Nagar,1634,08-09-2012,65,1,1,4,469968,147704,13427670,,,13.0418,80.2332
P05215,KK Nagar,1823,10-04-2010,52,3,2,5,516554,371273,16142300,,,13.0378,80.2055
P08267,KK Nagar,2404,06-03-2008,71,4,2,6,554568,229943,13526040,,,13.0378,80.2055
P06082,Chrompet,985,27-10-2009,2,1,1,3,239336,153175,9573450,,,12.9489,80.1354
P00546,Chrompet,826,18-01-2014,116,1,1,3,255931,36562,9140400,,,12.9489,80.1354
P07272,Chrompet,705,01-01-2009,110,1,1,2,194888,112436,7495700,,,12.9489,80.1354
P08208,Chrompet,987,22-03-2008,9,1,1,3,185396,51911,7415850,,,12.9489,80.1354
P07831,KK Nagar,1625,20-07-2008,100,2,1,4,306962,184177,10232060,,,13.0378,80.2055
P04236,Velachery,1729,09-10-2010,56,2,1,4,291940,149713,7485650,,,12.9784,80.221
P02735,Anna Nagar,1791,09-08-2011,165,1,1,4,809394,121409,20234860,,,13.086,80.2103
P00212,Chrompet,1019,19-09-2014,16,1,1,3,278526,123789,10315780,,,12.9489,80.1354
P01124,Chrompet,1212,09-12-2012,43,2,1,4,396262,111449,12383200,,,12.9489,80.1354
P08220,Adyar,1234,19-03-2008,129,2,2,4,222457,96398,7415240,,,13.0067,80.257
P02452,Karapakkam,850,01-10-2011,114,1,1,2,117538,67673,3561750,,,12.9346,80.2409
P04307,Adyar,662,25-09-2010,138,1,1,2,265443,26544,8848105,,,13.0067,80.257
P04663,Karapakkam,1555,23-07-2010,113,2,2,4,297347,139928,8745500,,,12.9346,80.2409
P00374,Anna Nagar,1711,02-06-2014,7,1,1,4,302833,145808,11216030,,,13.086,80.2103
P07225,Chrompet,1064,15-01-2009,68,1,1,3,422925,39649,13216400,,,12.9489,80.1354
P02748,Chrompet,816,06-08-2011,123,1,1,3,246834,32911,8227800,,,12.9489,80.1354
P08763,Adyar,1252,29-08-2007,15,2,2,4,324132,85298,8529780,,,13.0067,80.257
P01735,Velachery,1917,17-02-2012,200,3,2,5,280961,72247,8027460,,,12.9784,80.221
P06867,Chrompet,1013,03-05-2009,63,1,1,3,333797,93880,10431150,,,12.9489,80.1354
P04038,Chrompet,1080,19-11-2010,4,1,1,3,266211,108148,8319100,,,12.9489,80.1354
P06079,Karapakkam,627,27-10-2009,154,1,1,2,280401,118391,6231125,,,12.9346,80.2409
P00327,Chrompet,1058,02-07-2014,200,1,1,3,402503,48788,12197050,,,12.9489,80.1354
P04059,Chrompet,951,16-11-2010,117,1,1,3,325398,162699,11621350,,,12.9489,80.1354
P01678,Anna Nagar,1823,27-02-2012,45,2,1,5,497660,134503,13450260,,,13.086,80.2103
P02180,Karapakkam,575,22-11-2011,86,1,1,2,131183,43728,3975250,,,12.9346,80.2409
P00190,Chrompet,737,10-10-2014,93,1,1,2,312030,113465,9455450,,,12.9489,80.1354
P09389,Adyar,706,25-12-2006,23,1,1,2,197132,5055,5054675,,,13.0067,80.257
P01723,Karapakkam,1109,19-02-2012,7,1,1,3,176987,130138,5205500,,,12.9346,80.2409
P02417,Chrompet,1211,08-10-2011,170,2,1,4,239519,27637,9212250,,,12.9489,80.1354
P02533,Karapakkam,1450,15-09-2011,114,2,2,4,282500,117134,6890250,,,12.9346,80.2409
P08962,Adyar,1277,03-06-2007,48,2,2,4,503434,176882,13606320,,,13.0067,80.257
P04530,T Nagar,1568,14-08-2010,120,1,1,4,320072,153635,12802880,,,13.0418,80.2332
P06833,Adyar,995,10-05-2009,16,1,1,3,389504,48688,12171985,,,13.0067,80.257
P05846,Karapakkam,1304,11-12-2009,80,1,1,3,295746,154595,6721500,,,12.9346,80.2409
P03864,Karapakkam,561,26-12-2010,115,1,1,2,235188,79964,4703750,,,12.9346,80.2409
P05432,Karapakkam,831,25-02-2010,63,1,1,2,304163,66916,6083250,,,12.9346,80.2409
P00816,Anna Nagar,1811,06-07-2013,143,2,1,5,432321,216161,13510040,,,13.086,80.2103
P05897,KK Nagar,1563,03-12-2009,122,2,1,4,429046,221443,13840180,,,13.0378,80.2055
P07928,Chrompet,1107,21-06-2008,36,1,1,3,358626,39847,13282450,,,12.9489,80.1354
P00858,Chrompt,910,11-06-2013,10,1,1,3,243280,102021,7847750,,,,
P04217,T Nagar,1512,14-10-2010,163,1,1,4,537406,148250,18531240,,,13.0418,80.2332
P05495,Chrompet,1061,14-02-2010,141,1,1,3,304066,73395,10485020,,,12.9489,80.1354
P09569,Velachery,1851,28-09-2006,100,3,2,5,356633,200606,11144770,,,12.9784,80.221
P00919,Anna Nagar,1655,02-05-2013,157,1,1,4,658772,144106,20586630,,,13.086,80.2103
P02351,Karapakkam,895,19-10-2011,44,1,1,3,168563,48938,5437500,,,12.9346,80.2409
P05743,Karapakkam,1192,31-12-2009,146,1,1,3,414228,120817,8629750,,,12.9346,80.2409
P06161,Velachery,1670,11-10-2009,197,2,1,4,252573,57033,8147530,,,12.9784,80.221
P02899,Anna Nagar,1532,03-07-2011,153,1,1,4,395546,67808,11301300,,,13.086,80.2103
P09658,Velachery,1896,19-04-2006,188,3,2,5,386563,109030,9911860,,,12.9784,80.221
P02796,Karapakkam,1296,24-07-2011,166,1,1,3,281102,78447,6537250,,,12.9346,80.2409
P05951,KK Nagar,2045,22-11-2009,161,3,2,5,559590,406974,16957260,,,13.0378,80.2055
P01570,Adyar,722,16-03-2012,22,1,1,2,201816,10622,5310935,,,13.0067,80.257
P02637,Adyar,637,30-08-2011,197,1,1,2,391348,42308,10576965,,,13.0067,80.257
P09347,Velachery,1519,08-01-2007,109,2,1,4,405836,114141,12682380,,,12.9784,80.221
P04079,Karapakkam,1107,12-11-2010,41,1,1,3,178480,89240,4462000,,,12.9346,80.2409
P08838,Anna Nagar,1788,30-07-2007,113,1,1,4,516103,176561,13581650,,,13.086,80.2103
P05515,Karapakkam,923,10-02-2010,75,1,1,3,257136,80814,7346750,,,12.9346,80.2409
P03675,Chrompet,1261,02-02-2011,181,2,1,4,294683,127696,9822750,,,12.9489,80.1354
P04888,T Nagar,1773,10-06-2010,182,1,1,4,423038,267924,14101250,,,13.0418,80.2332
P04976,Chrompet,1104,24-05-2010,124,1,1,3,281829,145773,9718230,,,12.9489,80.1354
P00704,Chrompet,883,03-10-2013,31,1,1,3,210096,108939,7781350,,,12.9489,80.1354
P05636,Karapakkam,1639,21-01-2010,7,2,2,4,272602,193460,8793625,,,12.9346,80.2409
P02069,Karapakkam,910,15-12-2011,190,1,1,3,173685,140069,5602750,,,12.9346,80.2409
P01950,Karapakkam,1572,09-01-2012,152,2,2,4,308867,147719,6714500,,,12.9346,80.2409
P02272,KK Nagar,1854,02-11-2011,139,3,2,5,437922,229909,10948060,,,13.0378,80.2055
P06066,Karapakkam,1219,29-10-2009,27,1,1,3,279362,89158,5943875,,,12.9346,80.2409
P04791,Adyar,1033,30-06-2010,18,1,1,3,264785,40119,8023795,,,13.0067,80.257
P07978,Adyar,861,03-06-2008,153,1,1,3,235199,98632,7587075,,,13.0067,80.257
P09222,Chrompet,963,20-02-2007,170,1,1,3,222432,103272,7944000,,,12.9489,80.1354
P09845,Velachery,1537,24-02-2005,71,2,1,4,298736,97089,7468400,,,12.9784,80.221
P03362,Karapakkam,1579,08-04-2011,118,2,2,4,345710,93435,9343500,,,12.9346,80.2409
P08232,T Nagar,1925,15-03-2008,35,2,1,5,317209,203013,12688340,,,13.0418,80.2332
P01792,Karapakkam,1584,07-02-2012,86,2,2,4,482782,209905,10495250,,,12.9346,80.2409
P09098,T Nagar,1829,07-04-2007,31,2,1,5,512246,227665,14229060,,,13.0418,80.2332
P07318,Velachery,1761,21-12-2008,5,2,1,4,386251,159044,11360310,,,12.9784,80.221
P04584,Karapakkam,1204,05-08-2010,150,1,1,3,268281,149045,7452250,,,12.9346,80.2409
P01187,Chrompet,1165,07-11-2012,108,1,1,3,262280,98355,8196250,,,12.9489,80.1354
P09001,Chrompet,1109,18-05-2007,48,1,1,3,235275,34856,8713900,,,12.9489,80.1354
P00975,Chrompt,818,26-03-2013,66,1,1,3,305559,188036,11752250,,,,
P00082,T Nagar,1600,23-12-2014,153,1,1,4,415246,195410,12213120,,,13.0418,80.2332
P04916,Karapakkam,1170,04-06-2010,160,1,1,3,407803,141483,8322500,,,12.9346,80.2409
P06913,Chrompet,1288,20-04-2009,78,2,1,4,232310,151895,8935000,,,12.9489,80.1354
P03821,Anna Nagar,1598,06-01-2011,104,1,1,4,454192,66793,13358600,,,13.086,80.2103
P01179,Chrompet,722,10-11-2012,142,1,1,2,168850,32471,6494240,,,12.9489,80.1354
P00846,Chrompet,798,18-06-2013,172,1,1,2,194585,71348,6486150,,,12.9489,80.1354
P05696,Karapakkam,933,09-01-2010,15,1,1,3,349800,139920,8745000,,,12.9346,80.2409
P01469,Chrompet,1086,18-04-2012,124,1,1,3,434676,182283,14021800,,,12.9489,80.1354
P02690,KK Nagar,1952,17-08-2011,0,3,2,5,483558,145067,9671160,,,13.0378,80.2055
P02667,Chrompet,1052,22-08-2011,113,1,1,3,196787,47229,7871490,,,12.9489,80.1354
P01589,Velachery,1786,13-03-2012,22,2,1,4,454563,113641,14205080,,,12.9784,80.221
P05917,Karapakkam,1652,30-11-2009,107,2,2,4,224464,105218,7014500,,,12.9346,80.2409
P03323,Karapakkam,1607,13-04-2011,105,2,2,4,186818,137000,6227250,,,12.9346,80.2409
P07929,Chrompet,1229,21-06-2008,20,2,1,4,222515,79470,7946950,,,12.9489,80.1354
P03511,T Nagar,1902,13-03-2011,130,2,1,5,544913,262366,20181980,,,13.0418,80.2332
P04674,Velachery,1677,21-07-2010,22,2,1,4,406252,165040,12695370,,,12.9784,80.221
P00234,Chrmpet,979,04-09-2014,9,1,1,3,250856,98551,8959150,,,,
P07283,Adyar,655,30-12-2008,25,1,1,2,253588,47548,7924640,,,13.0067,80.257
P09443,Chrompet,947,05-12-2006,110,1,1,3,320431,189885,11867800,,,12.9489,80.1354
P02643,Velachery,1882,28-08-2011,179,3,2,5,434072,210835,12402070,,,12.9784,80.221
P00035,Chrompet,963,29-01-2015,97,1,1,3,223031,107385,8260400,,,12.9489,80.1354
P09313,Chrompet,1055,20-01-2007,7,1,1,3,350001,181035,12069000,,,12.9489,80.1354
P05726,Karapakkam,1390,03-01-2010,6,2,2,4,291085,106929,5940500,,,12.9346,80.2409
P07147,Velachery,1599,07-02-2009,65,2,1,4,295614,55927,7989570,,,12.9784,80.221
P06046,Karapakkam,1591,03-11-2009,184,2,2,4,395595,87910,8791000,,,12.9346,80.2409
P05916,Karapakkam,1265,30-11-2009,81,1,1,3,401080,90243,10027000,,,12.9346,80.2409
P06467,Adyar,870,12-08-2009,5,1,1,3,411107,44444,11111010,,,13.0067,80.257
P06050,Adyar,1122,02-11-2009,178,1,1,3,292369,17198,8599095,,,13.0067,80.257
P03198,Adyar,613,07-05-2011,172,1,1,2,241316,73735,6703210,,,13.0067,80.257
P09631,Velachery,1670,26-05-2006,52,2,1,4,309829,81534,8153390,,,12.9784,80.221
P05774,KK Nagar,1338,25-12-2009,116,2,1,4,411103,231246,12846980,,,13.0378,80.2055
P03918,KK Nagar,1319,15-12-2010,129,1,1,3,375685,86095,7826780,,,13.0378,80.2055
P03745,KK Nagar,1710,18-01-2011,130,2,1,4,395213,197607,10978140,,,13.0378,80.2055
P08163,Anna Nagar,1938,05-04-2008,71,2,1,5,342263,118022,11802180,,,13.086,80.2103
P02463,Karapakkam,1058,29-09-2011,39,1,1,3,260044,159382,8388500,,,12.9346,80.2409
P03564,Chrompet,1251,28-02-2011,133,2,1,4,370236,213598,14239850,,,12.9489,80.1354
P00796,Anna Nagar,1710,17-07-2013,32,1,1,4,603899,347700,18299980,,,13.086,80.2103
P03153,Adyar,617,16-05-2011,89,1,1,2,186882,54097,4917940,,,13.0067,80.257
P09018,Adyar,916,12-05-2007,107,1,1,3,228552,30885,6177070,,,13.0067,80.257
P00480,Chrompet,1027,13-03-2014,47,1,1,3,207122,61370,7671200,,,12.9489,80.1354
P08361,Adyar,1223,30-01-2008,99,2,2,4,248308,27590,6897450,,,13.0067,80.257
P02395,KK Nagar,1422,13-10-2011,113,2,1,4,683088,153346,13940580,,,13.0378,80.2055
P08102,Chrompet,1081,26-04-2008,93,1,1,3,358733,49480,12370100,,,12.9489,80.1354
P09923,Velachery,1603,26-09-2004,138,2,1,4,564106,155129,14102650,,,12.9784,80.221
P09382,Anna Nagar,1762,28-12-2006,3,1,1,4,411112,249604,14682580,,,13.086,80.2103
P05547,Adyar,1219,05-02-2010,108,2,2,4,281210,59202,7400260,,,13.0067,80.257
P07400,KK Nagar,1953,25-11-2008,30,3,2,5,483582,216069,10288980,,,13.0378,80.2055
P06230,Karapakkam,1208,01-10-2009,198,1,1,3,229599,51022,6377750,,,12.9346,80.2409
P06248,Karapakkam,849,29-09-2009,173,1,1,2,214634,145193,6312750,,,12.9346,80.2409
P06113,Karapakkam,522,20-10-2009,95,1,1,2,205049,109069,4362750,,,12.9346,80.2409
P02146,Karapakkam,1610,30-11-2011,195,2,2,4,525851,225365,12520250,,,12.9346,80.2409
P05125,KK Nagar,1945,26-04-2010,72,3,2,5,509220,108345,10834460,,,13.0378,80.2055
P07009,Adyar,884,26-03-2009,161,1,1,3,282790,113116,9426345,,,13.0067,80.257
P02130,Karapakkam,668,04-12-2011,43,1,1,2,204068,78488,5232500,,,12.9346,80.2409
P06458,Karapakkam,740,13-08-2009,150,1,1,2,211320,95094,5283000,,,12.9346,80.2409
P02547,Adyar,1158,13-09-2011,188,1,1,3,385410,62499,10416480,,,13.0067,80.257
P04885,Velachery,1840,10-06-2010,21,3,2,5,518607,235731,15715370,,,12.9784,80.221
P02784,Chrompet,829,29-07-2011,18,1,1,3,293758,128519,9179950,,,12.9489,80.1354
P05486,Anna Nagar,1650,16-02-2010,22,1,1,4,547681,239610,17115030,,,13.086,80.2103
P05795,Anna Nagar,1663,21-12-2009,64,1,1,4,411826,154435,12869560,,,13.086,80.2103
P02435,Velachery,1913,05-10-2011,164,3,2,5,267167,119522,7030720,,,12.9784,80.221
P03392,Velachery,1963,03-04-2011,195,3,2,5,336842,103644,8636980,,,12.9784,80.221
P08145,T Nagar,1806,09-04-2008,48,2,1,5,439164,102472,14638800,,,13.0418,80.2332
P07488,Velachery,1630,24-10-2008,78,2,1,4,283900,94633,7279480,,,12.9784,80.221
P04951,Karapakkam,1016,28-05-2010,69,1,1,3,170003,80528,4473750,,,12.9346,80.2409
P08917,T Nagar,1823,21-06-2007,0,2,1,5,513194,164222,20527770,,,13.0418,80.2332
P00362,Chrompet,1185,07-06-2014,92,1,1,3,384019,99102,12387700,,,12.9489,80.1354
P05824,Karapakkam,1478,16-12-2009,71,2,2,4,182809,62423,4458750,,,12.9346,80.2409
P09005,Chrompet,875,17-05-2007,176,1,1,3,239050,68300,8537500,,,12.9489,80.1354
P03806,KK Nagar,2087,08-01-2011,31,3,2,5,369686,254159,11552700,,,13.0378,80.2055
P07949,Anna Nagar,1970,13-06-2008,180,2,1,5,383698,68518,13703500,,,13.086,80.2103
P09709,Velachery,1645,13-01-2006,35,2,1,4,459380,194888,13920600,,,12.9784,80.221
P00747,TNagar,1856,20-08-2013,76,2,1,5,684272,136854,19550620,,,,
P09719,Velachery,1782,01-12-2005,110,2,1,4,642746,208892,16068640,,,12.9784,80.221
P02108,Karapakkam,1465,09-12-2011,192,2,2,4,300659,83161,6397000,,,12.9346,80.2409
P03570,KK Nagar,2439,27-02-2011,162,4,2,6,366951,111197,11119720,,,13.0378,80.2055
P04009,KK Nagar,1693,25-11-2010,119,2,1,4,411540,182907,11431660,,,13.0378,80.2055
P05746,Anna Nagar,1737,31-12-2009,174,1,1,4,319831,115139,12793250,,,13.086,80.2103
P01703,Karapakkam,1111,23-02-2012,91,1,1,3,284831,129469,8631250,,,12.9346,80.2409
P02028,KK Nagar,2485,23-12-2011,50,4,2,6,740382,379683,18984160,,,13.0378,80.2055
P09952,Velachery,1568,15-07-2004,110,2,1,4,471795,161404,12415670,,,12.9784,80.221
P02119,Karapakkam,512,07-12-2011,4,1,1,2,167824,41956,5244500,,,12.9346,80.2409
P04670,Chrompet,958,22-07-2010,51,1,1,3,353778,96485,10720550,,,12.9489,80.1354
P04754,T Nagar,1565,04-07-2010,35,1,1,4,787401,255905,19685020,,,13.0418,80.2332
P01927,KK Nagar,1706,14-01-2012,67,2,1,4,662406,244802,14400140,,,13.0378,80.2055
P03033,Velachery,1616,10-06-2011,33,2,1,4,373484,80753,10094160,,,12.9784,80.221
